Bike Name,KM Driven,Owner Info,Price,Engine,Power Value,Torque Value,Mileage,Kerb Weight,Type of brakes
1996 Yamaha RX 100 STD,2600,Second,90000,98,11,10.39,0,0,0
2019 KTM RC 125 BS6,10000,Second,140000,124.7,14.5,12,44.95,0,0
2017 Bajaj Pulsar 180 STD (Non-ABS),30100,First,65000,178.6,17.02,14.22,0,0,0
2020 Bajaj Pulsar NS200 BS6,5000,First,129000,199.5,24.5,18.74,40.84,159.5,Double Disc
2019 KTM RC 125 BS4,4800,First,135000,124.7,14.95,12,44.95,154.2,Double Disc
2019 KTM RC 200 BS4,16000,First,175000,199.5,25.83,19.5,32,154,Double Disc
2014 Royal Enfield Thunderbird 350 STD,38000,First,80000,346,20.07,28,40,195,Double Disc
2016 Bajaj Pulsar 220 F ABS,9020,First,75000,220,20.93,18.55,40,155,Double Disc
2016 Royal Enfield Thunderbird Kick Start,19000,First,85000,347,18,27.46,34,175,0
2013 Mahindra Centuro 110,61000,First,35000,106.7,8.4,8.5,85.4,126,Drum
2016 KTM RC 200 STD,32000,First,120000,200,25.83,19.2,0,0,0
2019 Yamaha YZF R15 V3 Moto GP Edition STD,2000,First,130000,155,19.3,15,0,139,Double Disc
2016 Mahindra Centuro 110,40000,First,30000,106.7,8.4,8.5,85.4,126,Drum
2017 Hero Glamour Drum,5000,First,60000,124.7,11.55,11,80.01,125,Drum
2019 KTM RC 125 BS4,7000,First,130000,124.7,14.95,12,44.95,154.2,Double Disc
2011 Yamaha Fazer STD,42000,First,32000,153,13.8,13.6,50,141,Disc
2017 Yamaha FZ S FI (V 2.0) STD,48000,First,75000,153,13.2,12.8,53,132,Disc
2017 Royal Enfield Thunderbird 350 ABS,30000,First,130000,346,20.07,28,40,197,Double Disc
2019 Honda Livo Drum,12000,First,55000,109.19,8.42,9.09,74,111,Drum
2014 Yamaha FZ S FI (V 2.0) STD,34500,First,55000,153,13.2,12.8,53,132,Disc
2014 Royal Enfield Thunderbird 350 ABS,37800,First,85000,346,20.07,28,40,197,Double Disc
2018 Bajaj Pulsar NS160 STD,27000,First,78000,160.3,15.5,14.6,40.6,145,Disc
2018 Bajaj Pulsar NS160 STD,27000,First,78000,160.3,15.5,14.6,40.6,145,Disc
2018 Bajaj V15 Power Up STD,102000,First,50000,149.5,13,13,57,137,Disc
2006 Hero Honda Passion Plus,100000,First,18000,97.2,7.5,7.55,70,116,Drum
2012 Hero Motocorp Glamour-Disc,65000,First,50000,124.7,9.1,10.35,81.1,129,Disc
2012 Yamaha Fazer-FI Version 2.0,10000,First,39000,149,13.2,12.8,45,137,Disc
2019 Bajaj Pulsar NS200 ABS,6000,First,95000,199.5,23.5,18.3,36.1,154,Double Disc
2014 Honda CB Unicorn 160 Disc Brake,5461,First,50000,162.71,14.01,13.92,62,134,Disc
2019 Bajaj Pulsar NS160 Twin Disc ABS,1300,First,92000,160.3,15.5,14.6,40.6,148,Double Disc
2018 Honda CB Unicorn 160 Disc Brake,16300,First,70000,162.71,14.01,13.92,62,134,Disc
2015 Yamaha YZF R15 V2.0,34000,First,60000,149,17,15,40,136,Double Disc
2014 Honda CB Unicorn 150 Disc,5461,First,50000,149.2,12.91,12.8,60,146,Disc
2019 Yamaha FZ-S Fi Version 3.0 STD,10800,First,98000,149,13.2,12.8,50,137,Disc
2017 Bajaj Pulsar NS200 STD,20000,First,85000,199.5,23.5,18.3,36.1,152,Double Disc
2014 Yamaha Fazer-FI Version 2.0,42000,First,45000,149,13.2,12.8,45,137,Disc
2016 Yamaha FZ S FI (V 2.0) STD,24700,First,63000,153,13.2,12.8,53,132,Disc
2016 KTM RC 200 STD,22000,Second,100000,200,25.83,19.2,0,0,0
2018 KTM 390 Duke 2018 STD,5700,First,160000,373.2,43.5,37,25.7,0,0
2014 Royal Enfield Thunderbird 350 STD,8600,First,95000,346,20.07,28,40,195,Double Disc
2015 Honda CBR 150 R,50000,First,72000,149.4,18.28,12.66,38,138,Double Disc
2016 Bajaj Pulsar 150 STD,21000,First,53000,149,14,13.4,65,144,Disc
2015 Hero Moto Corp Xtreme Disc,33120,First,60000,149.2,14.2,12.8,0,0,0
2016 Royal Enfield Thunderbird 500 STD,10000,Second,165000,499,27.57,41.3,30,199,Double Disc
2015 Bajaj Pulsar 150 STD,30000,First,45000,149,14,13.4,65,144,Disc
2015 Honda Dream Yuga Kick Drum Spoke,14000,First,42000,109.19,8.25,8.63,72,108,Drum
2013 Hero Glamour Drum,46000,First,35000,124.7,11.55,11,80.01,125,Drum
2011 Bajaj Pulsar 135LS 2018 STD,11000,First,40000,134.6,13.56,11.4,65,121,Disc
2017 Yamaha FZ FI V2,9200,First,75000,149,13.2,12.8,45,137,Disc
2012 Honda CB Unicorn 150 Disc,65000,First,45000,149.2,12.91,12.8,60,146,Disc
2014 Royal Enfield Thunderbird 350 STD,38000,First,85000,346,20.07,28,40,195,Double Disc
2010 Hero Splendor Pro Black Alloys,95000,First,30000,97.2,8.36,8.05,90,112,Drum
2014 Royal Enfield Thunderbird 500 STD,53000,First,90000,499,27.57,41.3,30,199,Double Disc
2014 Honda CB Unicorn 160 Disc Brake,63000,First,40000,162.71,14.01,13.92,62,134,Disc
2016 Yamaha FZ S FI (V 2.0) STD,22000,First,50000,153,13.2,12.8,53,132,Disc
2017 KTM RC 390 STD,37000,First,170000,373.2,43.5,35,25,159.5,Double Disc
2017 Bajaj Dominar 400 ABS,20000,First,120000,373.3,35,35,26.5,182,Double Disc
2017 KTM 200 Duke STD,20000,First,100000,200,25.01,19.2,35,148,Double Disc
2015 Bajaj Pulsar RS200 ABS,33500,First,80000,199.5,24.5,18.6,35,164,Double Disc
2017 Hero Glamour Drum,25000,First,50000,124.7,11.55,11,80.01,125,Drum
2017 Hero Passion Pro i3S AW DRUM,25000,First,50000,97.2,8.36,8.05,84,107.1,Drum
2019 Bajaj Pulsar NS200 ABS,6000,First,105000,199.5,23.5,18.3,36.1,154,Double Disc
2018 Bajaj Pulsar NS160 STD,31000,First,65000,160.3,15.5,14.6,40.6,145,Disc
2017 Yamaha FZ S FI (V 2.0) STD,16500,First,75000,153,13.2,12.8,53,132,Disc
2019 Royal Enfield Himalayan Sleet,7400,First,175000,411,24.83,32,29.48,194,Double Disc
2017 Bajaj Pulsar 220 F ABS,30000,First,70000,220,20.93,18.55,40,155,Double Disc
2015 Yamaha FZ STD,40000,First,50000,153,14,13.6,50,135,Disc
2014 Hero Motocorp ignitor 125 Disc,75000,First,25000,124.7,10.9,11,50,129,Disc
2018 Bajaj Pulsar 220 F ABS,16000,First,95000,220,20.93,18.55,40,155,Double Disc
2015 Hero Motocorp Karizma STD,25000,First,50000,223,19.2,19.35,48.5,154,Disc
2016 TVS Apache RTR 200 4V 2016-2017 Standard,36000,First,75000,197.75,20.05,18.1,40.2,149,Double Disc
2015 Hero Motocorp Karizma STD,14000,First,65000,223,19.2,19.35,48.5,154,Disc
2011 Yamaha YZF R15 V2.0,50000,First,50000,149,17,15,40,136,Double Disc
2014 Hero Motocorp Xtreme Single Disc,40000,First,60000,149.2,15.6,13.5,65.1,146,Disc
2018 Hero Glamour Disc,11000,First,60000,124.7,11.55,11,80.01,125,Disc
2018 Bajaj Dominar 400 ABS,10500,First,120000,373.3,35,35,26.5,182,Double Disc
2013 Bajaj Pulsar 180 STD (Non-ABS),65000,First,40000,178.6,17.02,14.22,0,0,0
2012 Hero Motocorp Xtreme Single Disc,70000,First,32000,149.2,15.6,13.5,65.1,146,Disc
2012 Hero Motocorp Xtreme Single Disc,70000,First,32000,149.2,15.6,13.5,65.1,146,Disc
2017 Yamaha FZ S FI (V 2.0) STD,3544,First,78000,153,13.2,12.8,53,132,Disc
2019 Royal Enfield Continental GT 650 STD,2000,First,150000,648,47.65,52,0,0,0
2019 Bajaj Pulsar 220 F ABS,2000,First,100000,220,20.93,18.55,40,155,Double Disc
2016 Hero Glamour (2012-2016) Drum,43000,First,40000,124.7,11.55,11,81.1,126,Drum
2012 Hero Motocorp Passion Pro Electric Start,35000,Second,28000,97.2,8.24,8.05,84,119,Drum
2013 Hero HF Dawn (2012-2017) STD,18000,First,25000,97.2,8.25,8.05,82.9,109,Drum
2017 Hero Splendor Plus i3s,13000,First,45000,97.2,8.36,8.05,80.6,113,Drum
2015 Honda CBR 150 R,8000,First,110000,149.4,18.28,12.66,38,138,Double Disc
2014 Honda Dream Neo Self Drum Brake Alloy,29000,First,35000,109.19,8.42,9.09,74,109,Drum
2017 Yamaha FZ S FI (V 2.0) STD,27500,First,75000,153,13.2,12.8,53,132,Disc
2014 Hero Splendor Ismart Drum Self Cast,30000,First,35000,97.2,8.24,8.05,92,110,Drum
2017 Bajaj Pulsar AS 150,30000,Second,35000,149.5,16.76,13,45,143,Disc
2017 KTM 200 Duke STD,30000,First,120000,200,25.01,19.2,35,148,Double Disc
2014 Mahindra Centuro 110,45000,First,25000,106.7,8.4,8.5,85.4,126,Drum
2016 Bajaj Discover 125 T Disc,41000,First,25000,124.6,12.3,10.8,76,124.7,Disc
2017 Bajaj Pulsar AS 150,7000,First,70000,149.5,16.76,13,45,143,Disc
2017 TVS Sport Electric Start Long Seat,38000,First,35000,99.7,7.4,95,0,0,0
2018 Hero Passion Xpro i3s Disc Alloy,15500,First,50000,109.15,9.5,9,75,119,Disc
2013 Hero Splendor Plus Self Alloy,58000,First,40000,97.2,8.36,8.05,80.6,113,Drum
2012 Bajaj Pulsar 180 STD (Non-ABS),90000,First,40000,178.6,17.02,14.22,0,0,0
2016 Hero Splendor Ismart Drum Self Cast,22396,First,36000,97.2,8.24,8.05,92,110,Drum
